state,county,population,Discourse,expected Discourse,relative Discourse
Alabama,Perry County,8511,2078,2331.2207238434535,-0.10862151372177738
Alabama,Pickens County,19123,3522,2695.7372662121797,0.3065071452414998
Alabama,Pike County,33009,6075,2988.1280936356125,1.033045374774625
Alabama,Randolph County,21967,3517,2768.0630196330776,0.2705635583637103
Alabama,Russell County,59183,4252,3322.6043212007976,0.2797190363200745
Alabama,St. Clair County,91103,1936,3676.972551193905,-0.47347988785736644
Alabama,Shelby County,223024,7345,4225.221542344485,0.7383703851714286
Alabama,Sumter County,12345,2191,2451.78862841588,-0.10636668487380067
Alabama,Talladega County,82149,3597,3570.179592666088,0.0075123412247963366
Alabama,Tallapoosa County,41311,2722,3150.647427771439,-0.13605058566474898
Alabama,Tuscaloosa County,227036,4246,4259.691175720963,-0.003214124018895685
Alabama,Walker County,65342,4337,3402.6125521796434,0.2746088288018003
Alabama,Washington County,15388,4665,2570.669575199813,0.8147023036351915
Alabama,Wilcox County,10600,3697,2392.5569838021215,0.5452087557492271
Alabama,Winston County,23540,3058,2801.2135012727076,0.09166973478123806
Alaska,Aleutians East Borough,3420,0,1755.8126711375628,-1.0
Alaska,Aleutians West Census Area,5232,0,2018.6838106975315,-1.0
Alaska,Anchorage,291247,0,4430.860047567407,-1.0
Alaska,Bethel Census Area,18666,0,2698.200797852376,-1.0
Alaska,Bristol Bay Borough,844,0,1093.8007938850023,-1.0
Alaska,Chugach Census Area,7102,0,2236.039590089715,-1.0
Alaska,Copper River Census Area,2617,0,1550.9598946109882,-1.0
Alaska,Denali Borough,1619,0,1275.0610181620373,-1.0
Alaska,Dillingham Census Area,4857,0,1956.2219375467887,-1.0
Alaska,Fairbanks North Star Borough,95655,2577,3691.951820030558,-0.3019952248513713
Alaska,Haines Borough,2080,386,1451.4903666243968,-0.7340664403459417
Alaska,Hoonah–Angoon Census Area,2365,0,1503.5880968418921,-1.0
Alaska,Juneau,32255,0,2976.2223947540806,-1.0
Alaska,Kenai Peninsula Borough,58799,887,3319.0732157360053,-0.7327567238364437
Alaska,Ketchikan Gateway Borough,13948,0,2531.1507907646255,-1.0
Alaska,Kodiak Island Borough,13101,0,2486.606765635841,-1.0
Alaska,Kusilvak Census Area,8368,0,2327.9155467842706,-1.0
Alaska,Lake and Peninsula Borough,1476,0,1240.149109707065,-1.0
Alaska,Matanuska-Susitna Borough,107081,0,3752.884824431542,-1.0
Alaska,Nome Census Area,10046,0,2370.8353098643543,-1.0
Alaska,North Slope Borough,11031,1635,2413.916797796328,-0.3226775663964075
Alaska,Northwest Arctic Borough,7793,0,2317.820390377422,-1.0
Alaska,Petersburg Borough,3398,0,1748.330590039336,-1.0
Alaska,Prince of Wales – Hyder Census Area,5753,0,2069.7828980964146,-1.0
Alaska,Sitka,8458,0,2333.8311157558023,-1.0
Alaska,Skagway,1240,0,1209.0970290708115,-1.0
Alaska,Southeast Fairbanks Census Area,6808,0,2228.9385902227104,-1.0
Alaska,Wrangell,2127,0,1446.5580720499936,-1.0
Alaska,Yakutat,662,0,1135.5586171651246,-1.0
Alaska,Yukon–Koyukuk Census Area,5343,0,2038.6808795638326,-1.0
Arizona,Apache County,66021,2491,3418.55322562304,-0.27132917477217017
Arizona,Cochise County,125447,2415,3853.414238065591,-0.37328305476643303
Arizona,Coconino County,145101,4302,4029.850146103162,0.0675334923210495
Arizona,Gila County,53272,2255,3266.647138244172,-0.30968975081524536
Arizona,Graham County,38533,1593,3111.153083405661,-0.48797119354339086
Arizona,Greenlee County,9563,857,2357.5582835774103,-0.6364883082764895
Arizona,La Paz County,16557,1352,2619.1979138062734,-0.4838114398024832
Arizona,Maricopa County,4420568,6688,5360.354619484222,0.24767864717195245
Arizona,Mohave County,213267,3803,4202.824517280907,-0.09513233675042426
Arizona,Navajo County,106717,3038,3750.5661147176215,-0.18998894911395806
Arizona,Pima County,1043433,4685,4939.336230090998,-0.0514919856116602
Arizona,Pinal County,425264,3623,4617.824547522804,-0.21543143038131882
Arizona,Santa Cruz County,47669,2903,3206.802248271635,-0.0947368202811305
Arizona,Yavapai County,236209,3101,4289.741657190071,-0.277112645046494
Arizona,Yuma County,203881,2228,4183.810641035545,-0.46747111875776903
Arkansas,Arkansas County,17149,14171,2663.2771654824373,4.3208881838000535
Arkansas,Ashley County,19062,1768,2691.781144150798,-0.34318582926333413
Arkansas,Baxter County,41627,3145,3157.231660491799,-0.0038741726319486674
Arkansas,Benton County,284333,7033,4422.483338150531,0.5902829840713834
Arkansas,Boone County,37373,2617,3065.770992971612,-0.14638112044260165
Arkansas,Bradley County,10545,1837,2392.8473015278614,-0.23229535005135776
Arkansas,Calhoun County,4739,1644,1950.5268513304782,-0.15715079806329887
Arkansas,Carroll County,28260,3342,2922.0157538867106,0.14373099992861044
Arkansas,Chicot County,10208,1304,2386.570002410224,-0.45360915511253563
Arkansas,Clark County,21446,3075,2749.0899862050906,0.11855196280599145
Arkansas,Clay County,14552,3138,2545.9137647376824,0.2325633505199745
Arkansas,Cleburne County,24711,3975,2842.809250430572,0.3982647620124166
Arkansas,Cleveland County,7550,1958,2301.875239783236,-0.1493891735920571
Arkansas,Columbia County,22801,2604,2778.210808504958,-0.06270611573882198
Arkansas,Conway County,20715,3425,2732.8486116121267,0.2532710320823693
Arkansas,Craighead County,111231,2705,3771.620907070365,-0.28280172725494584
Arkansas,Crawford County,60133,4928,3331.0372715973863,0.4794190512424967
Arkansas,Crittenden County,48163,3936,3210.5245845931404,0.22596787418738823
Arkansas,Cross County,16833,3660,2633.9170891499607,0.3895653796684941
Arkansas,Dallas County,6482,1587,2222.527382064938,-0.2859480549906535
Arkansas,Desha County,11395,3669,2432.4902489459496,0.5083308151347602
Arkansas,Drew County,17350,1640,2665.1895591632438,-0.3846591532818062
Arkansas,Faulkner County,123498,6970,3851.4784295369927,0.8096946737510099
Arkansas,Franklin County,17097,4053,2666.925536764039,0.5197274705006496
Arkansas,Fulton County,12075,1977,2429.006458113613,-0.18608697255776135
Arkansas,Garland County,100180,4352,3715.7182557002466,0.1712405786751027
Arkansas,Grant County,17958,3106,2673.2181208599354,0.1618954606670274
Arkansas,Greene County,45736,4636,3201.726399597271,0.4479688210032996
Arkansas,Hempstead County,20065,2688,2725.8606381800173,-0.013889425471617587
Arkansas,Hot Spring County,33040,2167,2983.50141410164,-0.27367220616769716
Arkansas,Howard County,12785,2767,2468.2143826557613,0.12105334911092688
Arkansas,Independence County,37938,3962,3084.1079509274136,0.2846502337275833
Arkansas,Izard County,13577,2596,2515.5016345187996,0.03200091956871228
Arkansas,Jackson County,16755,3095,2629.3827142968416,0.1770823559352695
Arkansas,Jefferson County,67260,5527,3446.507104920698,0.6036525768680151
Arkansas,Johnson County,25749,4736,2870.5976700798956,0.6498306430619327
Arkansas,Lafayette County,6308,2423,2187.4414135831726,0.10768680932622879
Arkansas,Lawrence County,16216,2465,2605.6938274280014,-0.05399476559641541
Arkansas,Lee County,8600,2402,2333.456892028618,0.029374062235961597
Arkansas,Lincoln County,12941,1256,2478.7860096497598,-0.4933003514178029
Arkansas,Little River County,12026,1437,2430.4799029233022,-0.4087587400860122
Arkansas,Logan County,21131,3253,2739.3607828982845,0.18750331110394214
Arkansas,Lonoke County,74015,3903,3497.2637345428,0.1160153469267144
Arkansas,Madison County,16521,4233,2620.1135541768604,0.6155788336928958
Arkansas,Marion County,16826,4552,2632.7841993720276,0.7289681399203718
Arkansas,Miller County,42600,2934,3155.4949515732083,-0.07019341021692314
Arkansas,Mississippi County,40685,3719,3135.987497982157,0.18591034001027773
Arkansas,Monroe County,6799,1331,2220.9725205309774,-0.4007129814997476
Arkansas,Montgomery County,8484,1749,2330.817278399502,-0.24961942911244306
Arkansas,Nevada County,8310,1560,2333.11277730204,-0.3313653693997811
Arkansas,Newton County,7225,3221,2253.4117720867594,0.4293881126826683
Arkansas,Ouachita County,22650,2819,2774.671459075222,0.015976140447111604
Arkansas,Perry County,10019,2046,2372.202259415311,-0.13751030634955708
Arkansas,Phillips County,16568,2968,2623.8084517652205,0.13118013550235255
Arkansas,Pike County,10171,2742,2382.5348083562913,0.150875105951423
Arkansas,Poinsett County,22965,2761,2782.5000519890987,-0.007726882870578613
Arkansas,Polk County,19221,3896,2696.7422800999834,0.44470609177216347
Arkansas,Pope County,63381,3563,3368.884898741515,0.05761998616545165
Arkansas,Prairie County,8282,1906,2329.707563411415,-0.18187156622824177
Arkansas,Pulaski County,399125,7712,4620.30845719354,0.6691526272435088
Arkansas,Randolph County,18571,1812,2695.325472296104,-0.3277249747295318
Arkansas,St. Francis County,23090,1485,2790.9603163703523,-0.46792507536214467
Arkansas,Saline County,123416,5741,3850.482285488842,0.49098205739989403
Arkansas,Scott County,9836,2601,2377.6925520343066,0.0939177135305555
Arkansas,Searcy County,7828,3948,2316.495208875114,0.7042987979746965
Arkansas,Sebastian County,127799,4756,3848.685789304537,0.23574650162839503
Arkansas,Sevier County,15839,2691,2585.928489083236,0.040632024961376266
Arkansas,Sharp County,17271,4124,2663.290632505662,0.5484603706656235
Arkansas,Stone County,12359,2102,2451.78862841588,-0.14266671456172023
Arkansas,Union County,39054,3913,3111.9252779058615,0.25742093737970906
Arkansas,Van Buren County,15796,4769,2590.358021038384,0.8410582480364143
Arkansas,Washington County,245871,7542,4318.079840925793,0.7466096686121025
Arkansas,White County,76822,6426,3531.355090229521,0.8196980580568975
Arkansas,Woodruff County,6269,2361,2178.5688302000217,0.08373899748819444
Arkansas,Yell County,20263,3185,2727.9101370774865,0.16756045469012815
California,Alameda County,1682353,4041,5175.69683149956,-0.21923556739137737
California,Alpine County,1204,2110,1194.6313798370807,0.7662352049447704
California,Amador County,40474,2830,3134.918852999512,-0.09726530966113005
California,Butte County,211632,2351,4210.967169984776,-0.4416959560365084
California,Calaveras County,45292,3911,3181.633565845996,0.22924275189436075
California,Colusa County,21839,1469,2762.824753675937,-0.46829779990732445
California,Contra Costa County,1165927,5245,4950.976899744394,0.059386885903423475
California,Del Norte County,27743,2270,2909.0736932448744,-0.21968288212459516
California,El Dorado County,191185,4025,4150.064765170238,-0.030135617694416427
California,Fresno County,1008654,5089,4951.707104014618,0.027726376601328217
California,Glenn County,28917,2479,2932.0026743435783,-0.15450281758184184
California,Humboldt County,136463,5498,3919.4772650389637,0.4027380765902578
California,Imperial County,179702,3586,4088.591412245762,-0.12292532111192327
California,Inyo County,19016,2022,2699.7062543370134,-0.2510296271115773
California,Kern County,909235,5275,4931.179530939782,0.06972377843941381
California,Kings County,152486,3932,4070.886120071373,-0.034116925891539834
California,Lake County,68163,6163,3439.216157754884,0.791978089572363
California,Lassen County,32730,1358,2986.9760933893645,-0.5453596019715518
California,Los Angeles County,10014009,4443,5456.284242185029,-0.18570957765558935
California,Madera County,156255,2116,4075.5772673459574,-0.48080974517311675
California,Marin County,262321,5305,4353.792099261054,0.21847802537479663
California,Mariposa County,17131,2026,2660.5268185582145,-0.23849668198498952
California,Mendocino County,91601,3364,3680.774396280388,-0.08606188866139278
California,Merced County,281202,4339,4423.472875913544,-0.01909650590908137
California,Modoc County,8700,1570,2325.766472416004,-0.3249537223016697
California,Mono County,13195,2599,2496.3486400845018,0.041120602413941464
California,Monterey County,439035,4357,4668.670667507319,-0.0667579038454056
California,Napa County,138019,2552,3934.8417000723603,-0.351435154315593
California,Nevada County,102241,4378,3725.03127069755,0.17529214705898957
California,Orange County,3186989,6746,5483.52856900644,0.23022975354394964
California,Placer County,404739,4463,4624.453987371013,-0.03491309196976113
California,Plumas County,19790,3030,2720.113942784038,0.1139239251495448
California,Riverside County,2418185,5161,5316.754721751323,-0.029295073762593618
California,Sacramento County,1585055,6308,5120.328806786844,0.23195213394087752
California,San Benito County,64209,2610,3376.635990456884,-0.22704134903008966
California,San Bernardino County,2181654,4417,5231.9915015207,-0.1557707999494684
California,San Diego County,3298634,6258,5438.2353889929,0.150740920973432
California,San Francisco,873965,4401,4963.5906916680315,-0.11334348994819533
California,San Joaquin County,779233,4244,4933.143763955931,-0.139696671520333
California,San Luis Obispo County,282424,3070,4420.978683912242,-0.30558362310779674
California,San Mateo County,764442,3691,4904.868523886689,-0.24748237755510766
California,Santa Barbara County,448229,5417,4676.296684441338,0.15839527847390028
California,Santa Clara County,1936259,3062,5213.345678053289,-0.41266123731442667
California,Santa Cruz County,270861,2695,4404.547240206106,-0.38813234300243526
California,Shasta County,182155,3729,4118.740575188307,-0.09462615284296906
California,Sierra County,3236,2643,1717.673159072466,0.5387094954823684
California,Siskiyou County,44076,1787,3168.239838198681,-0.43596441833267013
California,Solano County,453491,3083,4676.404028336365,-0.3407327550573554
California,Sonoma County,488863,3588,4708.611981466454,-0.23799199973947524
California,Stanislaus County,552878,3533,4769.453430989855,-0.25924426118848615
California,Sutter County,99633,3155,3714.5542629505,-0.15063833325348744
California,Tehama County,65829,2414,3416.746047292372,-0.29347982946728113
California,Trinity County,16112,2475,2600.6842404405306,-0.04832737419104787
California,Tulare County,473117,4739,4694.430561145355,0.009494109727287396
California,Tuolumne County,55620,2432,3275.026242098167,-0.25741053041397216
California,Ventura County,843843,4511,4956.664318841174,-0.08991214457414903
California,Yolo County,216403,4272,4195.234553396494,0.018298249031476834
California,Yuba County,81575,2463,3556.0277364392737,-0.3073732314399059
Colorado,Adams County,519572,6588,4737.869341664344,0.3904984550894628
Colorado,Alamosa County,16376,2647,2615.3149759660455,0.012115184719672507
Colorado,Arapahoe County,655070,4935,4809.2041896541605,0.02615730282703712
Colorado,Archuleta County,13359,1184,2503.2573145551723,-0.5270162627247147
Colorado,Baca County,3506,1583,1753.3935519811303,-0.09717929656385779
Colorado,Bent County,5650,1690,2049.126693467112,-0.17525841355346924
Colorado,Boulder County,330758,5565,4498.623546341065,0.23704505226410144
Colorado,Broomfield,74112,3276,3498.7323942124294,-0.06366088317611009
Colorado,Chaffee County,19476,2445,2718.488655673425,-0.10060319917195913
Colorado,Cheyenne County,1748,3161,1339.9993421813465,1.3589563819145603
Colorado,Clear Creek County,9397,3381,2368.0757478893543,0.42774149138322815
Colorado,Conejos County,7461,1231,2291.0010989822636,-0.4626803101286814
Colorado,Costilla County,3499,2290,1757.7402390966554,0.302809111986243
Colorado,Crowley County,5922,2275,2088.909103461716,0.08908520539735139
Colorado,Custer County,4704,3865,1941.4115001918235,0.9908195658767417
Colorado,Delta County,31196,2750,2961.04399793721,-0.071273509641948
Colorado,Denver,715522,6050,4857.014485150366,0.2456211564731828
Colorado,Dolores County,2326,903,1517.0793639251947,-0.4047773495094975
Colorado,Douglas County,357978,6107,4547.995796909537,0.34278927965365336
Colorado,Eagle County,55731,5009,3274.871968360448,0.5295254435573359
Colorado,Elbert County,26062,4086,2880.2616593169723,0.4186211126974337
Colorado,El Paso County,730395,5700,4870.815384270625,0.17023527896521584
Colorado,Fremont County,48939,3366,3229.505638538391,0.042264784997676504
Colorado,Garfield County,61685,4567,3344.481544059979,0.3655330250248487
Colorado,Gilpin County,5808,3215,2088.6588505023283,0.5392652558969999
Colorado,Grand County,15717,6132,2585.748335296604,1.3714604844932115
Colorado,Gunnison County,16918,2321,2638.2243919722796,-0.12024162650362333
Colorado,Hinsdale County,788,1152,1042.084548244445,0.1054765200584971
Colorado,Huerfano County,6820,1565,2228.9385902227104,-0.2978720872504483
Colorado,Jackson County,1379,2324,1268.6233883397342,0.8319069483981785
Colorado,Jefferson County,582910,5522,4785.042466414542,0.1540127467536697
Colorado,Kiowa County,1446,2277,1252.537308236318,0.8179099217461353
Colorado,Kit Carson County,7087,1347,2235.312462598034,-0.39739968235383794
Colorado,Lake County,7436,3324,2289.9976816820085,0.45152985375885374
Colorado,La Plata County,55638,2967,3275.3624154650192,-0.09414604442215274
Colorado,Larimer County,359066,4402,4548.443499366093,-0.03219639847928262
Colorado,Las Animas County,14555,2765,2545.9137647376824,0.08605406761877933
Colorado,Lincoln County,5675,3166,2052.888806485513,0.5422169919763463
Colorado,Logan County,21528,2695,2749.3457603966535,-0.019766797315741387
Colorado,Mesa County,155703,3848,4073.9608982288146,-0.05546467034748734
Colorado,Mineral County,865,1868,1054.0787989946334,0.7721635249486793
Colorado,Moffat County,13292,3080,2498.458637516901,0.23276005203794978
Colorado,Montezuma County,25849,3651,2871.7408103131816,0.27135429036224035
Colorado,Montrose County,42679,3819,3155.8426089121117,0.21013639565393066
Colorado,Morgan County,29111,2683,2931.0824568401904,-0.08463851170793468
Colorado,Otero County,18690,1983,2696.8462873764224,-0.2646966906189061
Colorado,Ouray County,4874,2240,1965.618578819587,0.1395903682113075
Colorado,Park County,17390,4407,2664.359906696625,0.6540558161543448
Colorado,Phillips County,4530,2328,1914.761428592048,0.21581726330878317
Colorado,Pitkin County,17358,2923,2665.1895591632438,0.09673249692517097
Colorado,Prowers County,11999,1742,2423.930023598199,-0.28133238870729
Colorado,Pueblo County,168162,5701,4091.121058938711,0.39350557411246884
Colorado,Rio Blanco County,6529,1984,2227.7111224048485,-0.10939978705217338
Colorado,Rio Grande County,11539,2245,2431.4766451444934,-0.07669275603237877
Colorado,Routt County,24829,2828,2850.6006769382484,-0.00792839106546595
Colorado,Saguache County,6368,2084,2210.407106157602,-0.05718725107491086
Colorado,San Juan County,705,2124,1110.2198357659447,0.9131346167442997
Colorado,San Miguel County,8072,2362,2322.326467468325,0.017083529420790212
Colorado,Sedgwick County,2404,3395,1508.3201874326696,1.2508483465826121
Colorado,Summit County,31055,4085,2956.423657086873,0.3817370153319553
Colorado,Teller County,24710,3093,2842.809250430572,0.08800827896966153
Colorado,Washington County,4817,2895,1952.0172951467057,0.4830811218721418
Colorado,Weld County,328981,4679,4500.059311790674,0.03976407327354132
Colorado,Yuma County,9988,2590,2375.2643350775375,0.09040495483019695
Connecticut,Fairfield County,957419,3371,4943.065418560682,-0.31803451612389033
Connecticut,Hartford County,899498,3359,4931.966688646649,-0.3189329506761688
Connecticut,Litchfield County,185186,2156,4133.710742538567,-0.4784347202107393
Connecticut,Middlesex County,164245,1236,4090.265405683713,-0.6978191199322933
Connecticut,New Haven County,864835,3504,4963.5906916680315,-0.2940594384863614
Connecticut,New London County,268555,2095,4394.212350331569,-0.523236513628678
Connecticut,Tolland County,149788,1020,4068.5377204843453,-0.7492956757253384
Connecticut,Windham County,116418,1178,3809.6998628675046,-0.6907892898645991
Delaware,Kent County,181851,6035,4104.319975416026,0.47040192678648907
Delaware,New Castle County,570719,5110,4783.029071181347,0.0683606400782121
Delaware,Sussex County,237378,6379,4290.175013314873,0.4868857284848068
Florida,Alachua County,278468,4562,4404.435351911937,0.03577408577916019
Florida,Baker County,28259,3414,2922.0157538867106,0.16837152416405626
Florida,Bay County,175216,6347,4086.2811613277486,0.553246032130026
Florida,Bradford County,28303,3617,2927.058129792209,0.23571170766491398
Florida,Brevard County,606612,7157,4785.9649269622405,0.4954142182865324
Florida,Broward County,1944375,7830,5233.216346729932,0.496211790458981
Florida,Calhoun County,13648,3026,2519.453804422684,0.20105397236818476
Florida,Charlotte County,186847,2807,4133.3287468310655,-0.32088634320411447
Florida,Citrus County,153843,5103,4076.5194687560906,0.2518031715808608
Florida,Clay County,218245,5930,4208.251957161677,0.4091361592331044
Florida,Collier County,375752,6218,4586.526188866962,0.3557101265644514
Florida,Columbia County,69698,4140,3441.767628577368,0.20287028259117001
Florida,DeSoto County,33976,2803,3000.4342380606818,-0.06580188812546432
Florida,Dixie County,16759,4557,2629.831893342725,0.7328103790724402
Florida,Duval County,995567,3919,4977.2195198799745,-0.21261258733982732
Florida,Escambia County,321905,5492,4482.975522428333,0.22507918513574668
Florida,Flagler County,115378,3995,3808.5436296262837,0.04895739382458182
Florida,Franklin County,12451,5598,2456.3415542961843,1.2789990220248484
Florida,Gadsden County,43826,4515,3168.1550881472835,0.4251196277895419
Florida,Gilchrist County,17864,3015,2673.3118183401893,0.12781456293862442
Florida,Glades County,12126,2430,2425.48285629091,0.0018623688464232413
Florida,Gulf County,14192,4564,2538.7906290577425,0.7977063361439547
Florida,Hamilton County,14004,4730,2537.7419803459125,0.8638616678261621
Florida,Hardee County,25327,2847,2867.7591599904085,-0.007238808711704355
Florida,Hendry County,39619,3385,3116.33838272072,0.0862106691522777
Florida,Hernando County,194515,4688,4148.077564836964,0.1301620875510937
Florida,Highlands County,101235,4226,3716.041469255424,0.13723165765605821
Florida,Hillsborough County,1459762,6835,5113.501169087803,0.3366575608350345
Florida,Holmes County,19653,3031,2719.468831014043,0.1145558887945747
Florida,Indian River County,159788,4730,4094.716649049026,0.15514708474358416
Florida,Jackson County,47319,6201,3210.7366050958312,0.931332514214419
Florida,Jefferson County,14510,3506,2548.6954376162876,0.37560571116298164
Florida,Lafayette County,8226,2130,2330.185442064512,-0.08590966128736528
Florida,Lake County,383956,5411,4587.523456295031,0.1795035058785343
Florida,Lee County,760822,6198,4903.834922007967,0.2639087772273771
Florida,Leon County,292198,3546,4430.037665910839,-0.1995553384824497
Florida,Levy County,42915,3787,3153.387663713613,0.20093068276299653
Florida,Liberty County,7974,4402,2317.280998162228,0.899640140100016
Florida,Madison County,17968,3936,2673.4365256367932,0.4722623717660449
Florida,Manatee County,399710,5120,4621.591730657245,0.10784342243746309
Florida,Marion County,375908,8560,4586.526188866962,0.866336230844597
Florida,Martin County,158431,6389,4070.9325813758146,0.5694192601540874
Florida,Miami-Dade County,2701767,4213,5346.458352662878,-0.2120017173795702
Florida,Monroe County,82874,3973,3574.942475164623,0.11134655385386219
Florida,Nassau County,90352,6739,3664.106151842752,0.8391934405641668
Florida,Okaloosa County,211668,4640,4208.372249947224,0.10256406145112013
Florida,Okeechobee County,39644,4580,3119.0060993824036,0.46841649360893806
Florida,Orange County,1429908,7729,5095.299696810092,0.5168882028350036
Florida,Osceola County,388656,6296,4589.036431480411,0.3719655736027633
Florida,Palm Beach County,1492191,6844,5098.741230918503,0.34229208544617606
Florida,Pasco County,561891,7708,4780.547728825989,0.6123675438950041
Florida,Pinellas County,959107,6164,4943.065418560682,0.24699947867467817
Florida,Polk County,725046,7442,4862.236219054802,0.5305714623315223
Florida,Putnam County,73321,4589,3484.5670942440534,0.3169498178354186
Florida,St. Johns County,273425,3525,4405.848705128967,-0.19992713415318758
Florida,St. Lucie County,329226,2773,4496.609482942558,-0.3833131361486693
Florida,Santa Rosa County,188000,4433,4126.877781127379,0.07417767986068009
Florida,Sarasota County,434006,6013,4631.446716357494,0.29829842989731303
Florida,Seminole County,470856,6151,4703.571206760388,0.3077297503563334
Florida,Sumter County,129752,4789,3878.9377226092433,0.23461636728175816
Florida,Suwannee County,43474,2229,3159.0148994054325,-0.294400289020629
Florida,Taylor County,21796,3667,2762.532059762461,0.3274054094833964
Florida,Union County,16147,5919,2606.402085094458,1.270946617887428
Florida,Volusia County,553543,6892,4769.453430989855,0.44502930990346834
Florida,Wakulla County,33764,2577,2999.3372439473933,-0.14081018891745567
Florida,Walton County,75305,4782,3506.6377448649637,0.36369946026008715
Florida,Washington County,25318,3849,2861.251180654792,0.3452156965538285
Georgia,Appling County,18444,1083,2688.0730710142716,-0.5971091665334234
Georgia,Atkinson County,8286,1299,2329.707563411415,-0.4424192888407587
Georgia,Bacon County,11140,1545,2426.548163584026,-0.3632930830773102
Georgia,Baker County,2876,1764,1620.4969133775949,0.08855498917508103
Georgia,Baldwin County,43799,2429,3167.5803513614455,-0.23316862381849257
Georgia,Banks County,18035,3894,2679.2163154762916,0.45341008021883183
Georgia,Barrow County,83505,3941,3572.7830138849804,0.1030616706035632
Georgia,Bartow County,108901,3605,3762.1609639128096,-0.04177412009223429
Georgia,Ben Hill County,17194,1105,2664.755214798508,-0.5853277652433253
Georgia,Berrien County,18160,2287,2684.350159159534,-0.14802471197868755
Georgia,Bibb County,157346,5224,4077.2639162681758,0.2812513752559351
Georgia,Bleckley County,12583,1314,2459.0489451628414,-0.4656470736034962
Georgia,Brantley County,18021,3226,2679.3404043449086,0.2040276759043419
Georgia,Brooks County,16301,1296,2613.9359784141902,-0.5041959670388519
Georgia,Bryan County,44738,3651,3186.0517023845055,0.1459324395983649
Georgia,Bulloch County,81099,3892,3554.885614643606,0.09483128907656607
Georgia,Burke County,24596,2268,2840.897995921213,-0.201660882137882
